mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	d.i{		d	i		i		i						{	m	1	1	2, -1, 3		2	2	0	28	0.0	0.0	5.333333333333333	0.0
3	3	0	0	4/4	2	1	ii%2		d	i		ii%2		ii	%	2					%7	1	1	2, 4, 1, -2		4	2	0	28	0.0	0.0	5.333333333333333	0.0
5	5	0	0	4/4	2	1	V2/iv		d	i		V2/iv		V		2		iv			Mm7	1	1	0, 2, 6, 3		2	0	0	28	0.0	0.0	5.333333333333333	0.0
7	7	0	0	4/4	2	2	iv6		d	i		iv6		iv		6					m	1	1	-2, 2, 1		1	-2	1	7	0.125	0.08333333333333333	1.1666666666666667	0.06666666666666667
7	7	1/2	1/2	4/4	2	2	III6		d	i		III6		III		6					M	1	1	3, 0, -1		-1	3	2	7	0.2222222222222222	0.3333333333333333	1.1666666666666667	0.2222222222222222
8	8	0	0	4/4	2	2	bII6		d	i		bII6		bII		6					M	1	1	1, -2, -3		-3	1	2	7	0.2222222222222222	0.3333333333333333	1.1666666666666667	0.2222222222222222
8	8	1/2	1/2	4/4	2	2	viio7/V		d	i		viio7/V		vii	o	7		V			o7	1	1	8, 5, 2, -1		8	8	2	7	0.2222222222222222	0.3333333333333333	1.1666666666666667	0.2222222222222222
9	9	0	0	4/4	2	2	V|HC}		d	i		V		V					HC	}	M	1	1	3, 7, 4		3	3	6	19	0.24	0.5	2.1666666666666665	0.1875
12	12	0	0	4/4	2	2	i{		d	i		i		i						{	m	1	1	2, -1, 3		2	2	3	18	0.14285714285714285	0.28125	3.21875	0.08035714285714286
13	13	0	0	4/4	2	2	V43		d	i		V43		V		43					Mm7	1	1	4, 1, 3, 7		3	4	2	16	0.1111111111111111	0.1875	2.875	0.061224489795918366
14	14	0	0	4/4	2	2	V65		d	i		V65		V		65					Mm7	1	1	7, 4, 1, 3		3	7	2	19	0.09523809523809523	0.15625	3.34375	0.044642857142857144
15	15	0	0	4/4	2	2	i}		d	i		i		i						}	m	1	1	2, -1, 3		2	2	2	16	0.1111111111111111	0.1875	2.875	0.061224489795918366
16	16	0	0	4/4	2	2	i6{		d	i		i6		i		6				{	m	1	1	-1, 3, 2		2	-1	0	5	0.0	0.0	1.75	0.0
16	16	1/2	1/2	4/4	2	2	#viio65		d	i		#viio65		#vii	o	65					o7	1	1	4, 1, -2, 7		7	4	6	6	0.5	0.9166666666666666	0.7083333333333334	0.5641025641025641
17	17	1/2	1/2	4/4	2	2	#viio43		d	i		#viio43		#vii	o	43					o7	1	1	1, -2, 7, 4		7	1	0	3	0.0	0.0	0.75	0.0
17	17	15/16	15/16	4/4	2	1	i		d	i		i		i							m	1	1	2, -1, 3		2	2						
17	17	0	0	4/4	2	2	i6		d	i		i6		i		6					m	1	1	-1, 3, 2		2	-1	6	7	0.46153846153846156	1.0	0.9375	0.5161290322580645
18	18	0	0	4/4	2	1	V7/V		d	i		V7/V		V		7		V			Mm7	1	1	4, 8, 5, 2		4	4	1	3	0.25	0.125	0.375	0.25
18	18	1/4	1/4	4/4	2	1	V7		d	i		V7		V		7					Mm7	1	1	3, 7, 4, 1		3	3	0	3	0.0	0.0	0.375	0.0
18	18	1/2	1/2	4/4	2	1	V/iv		d	i		V/iv		V				iv			M	1	1	2, 6, 3		2	2	0	3	0.0	0.0	0.375	0.0
18	18	3/4	3/4	4/4	2	1	viio7/V		d	i		viio7/V		vii	o	7		V			o7	1	1	8, 5, 2, -1		8	8	0	4	0.0	0.0	0.5	0.0
19	19	0	0	4/4	2	1	V|HC}		d	i		V		V					HC	}	M	1	1	3, 7, 4		3	3	0	15	0.0	0.0	2.0	0.0
20	20	3/4	3/4	4/4	2	1	v.i		d	v		i		i							m	1	1	3, 0, 4		3	3	0	5	0.0	0.0	1.0	0.0
21	21	0	0	4/4	2	1	V6		d	v		V6		V		6					M	1	1	8, 5, 4		4	8	0	5	0.0	0.0	1.0	0.0
21	21	1/4	1/4	4/4	2	1	vo6		d	v		vo6		v	o	6					o	1	1	1, -2, 4		4	1	0	5	0.0	0.0	1.0	0.0
21	21	1/2	1/2	4/4	2	1	viio6/V		d	v		viio6/V		vii	o	6		V			o	1	1	6, 3, 9		9	6	1	4	0.2	0.125	0.875	0.125
21	21	3/4	3/4	4/4	2	1	It6		d	v		It6	It	vii	o	6	b3	V			It	1	1	-1, 3, 9		9	-1	0	5	0.0	0.0	1.0	0.0
22	22	0	0	4/4	2	1	V(#74)}		d	v		V(#74)		V			#74			}	M	1	1	4, 3, 5	9	4	4	2	11	0.15384615384615385	0.28125	2.78125	0.09183673469387756
23	23	0	0	4/4	2	1	#viio43		d	v		#viio43		#vii	o	43					o7	1	1	2, -1, 8, 5		8	2	3	22	0.12	0.1875	2.25	0.07692307692307693
24	24	0	0	4/4	2	1	i6		d	v		i6		i		6					m	1	1	0, 4, 3		3	0	3	22	0.12	0.1875	2.25	0.07692307692307693
